package,type,count
audacious-plugins_3.10.1-1_amd64.log,num_no_stack_protector,0
audacious_3.10.1-1_amd64.log,num_gcc,0
audacious_3.10.1-1_amd64.log,num_stack_protector,0
audacious_3.10.1-1_amd64.log,num_stack_protector_strong,0
audacious_3.10.1-1_amd64.log,num_stack_protector_all,0
audacious_3.10.1-1_amd64.log,num_no_stack_protector,0
audacity_2.2.2-1+b1_amd64.log,num_gcc,166
audacity_2.2.2-1+b1_amd64.log,num_stack_protector,0
audacity_2.2.2-1+b1_amd64.log,num_stack_protector_strong,166
audacity_2.2.2-1+b1_amd64.log,num_stack_protector_all,0
audacity_2.2.2-1+b1_amd64.log,num_no_stack_protector,0
audiocd-kio_4:17.08.3-1_amd64.log,num_gcc,0
audiocd-kio_4:17.08.3-1_amd64.log,num_stack_protector,0
audiocd-kio_4:17.08.3-1_amd64.log,num_stack_protector_strong,0
audiocd-kio_4:17.08.3-1_amd64.log,num_stack_protector_all,0
audiocd-kio_4:17.08.3-1_amd64.log,num_no_stack_protector,0
aumix_2.9.1-6+b1_amd64.log,num_gcc,16
aumix_2.9.1-6+b1_amd64.log,num_stack_protector,0
aumix_2.9.1-6+b1_amd64.log,num_stack_protector_strong,16
aumix_2.9.1-6+b1_amd64.log,num_stack_protector_all,0
aumix_2.9.1-6+b1_amd64.log,num_no_stack_protector,0
autofs_5.1.5-1_amd64.log,num_gcc,57
autofs_5.1.5-1_amd64.log,num_stack_protector,0
autofs_5.1.5-1_amd64.log,num_stack_protector_strong,56
autofs_5.1.5-1_amd64.log,num_stack_protector_all,0
autofs_5.1.5-1_amd64.log,num_no_stack_protector,1
autogen_1:5.18.12-4_amd64.log,num_gcc,11
autogen_1:5.18.12-4_amd64.log,num_stack_protector,0
autogen_1:5.18.12-4_amd64.log,num_stack_protector_strong,11
autogen_1:5.18.12-4_amd64.log,num_stack_protector_all,0
autogen_1:5.18.12-4_amd64.log,num_no_stack_protector,0
automoc_1.0~version-0.9.88-5+b2_amd64.log,num_gcc,0
automoc_1.0~version-0.9.88-5+b2_amd64.log,num_stack_protector,0
automoc_1.0~version-0.9.88-5+b2_amd64.log,num_stack_protector_strong,0
